Date,Observer,Group,Focal_ID,Focal_Fatness,Time,minutes,EA ,FO,TR,RE,SO,AM,AF,JV,AL,Notes,,,,,,,,,
7/26/23,Jilly,A,AM,2,10:23 AM,7,0.000,0.000,0.570,0.430,0.000,0.000,0.860,0.000,0.140,,,,,,,,,,
7/26/23,Jilly,A,AM,2,11:16 AM,5,0.000,0.200,0.800,0.000,0.000,0.000,0.600,0.000,0.400,,,,,,,,,,
7/27/23,Jacob,A,AM,2,8:37 AM,6,0.000,0.000,0.330,0.670,0.000,0.000,0.000,0.000,1.000,This was scar face male,,,,,,,,,
7/27/23,Jilly,A,AM,2,1:28 AM,5,0.000,0.400,0.600,0.000,0.000,0.000,0.400,0.000,0.600,,,,,,,,,,
7/27/23,Jilly,A,AM-TEAR,2,1:56 AM,10,0.100,0.300,0.000,0.600,0.000,0.800,0.100,0.100,0.000,,,,,,,,,,
7/27/23,Jilly,A,AM,2,2:24 AM,8,0.000,0.000,0.630,0.380,0.000,0.250,0.250,0.130,0.380,,,,,,,,,,
7/29/23,Jilly,A,AM,2,8:48 AM,5,0.000,0.000,0.400,0.400,0.200,0.000,1.000,0.000,0.000,,,,,,,,,,
7/29/23,Jilly,A,AM,2,9:11 AM,10,0.000,0.100,0.400,0.300,0.200,0.000,0.900,0.000,0.100,,,,,,,,,,
7/29/23,Jilly,A,AM-SCAR,2,10:31 AM,8,0.000,0.130,0.380,0.500,0.000,0.130,0.130,0.000,0.750,,,,,,,,,,
8/2/23,Jacob,A,AM,2,10:54 AM,6,0.000,0.000,0.830,0.170,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
8/3/23,Jilly,A,AM,2,8:59 AM,10,0.400,0.100,0.200,0.300,0.000,0.000,1.000,0.000,0.000,,,,,,,,,,
8/5/23,Jilly,A,AM,2,10:13 AM,7,0.140,0.430,0.140,0.290,0.000,0.000,0.430,0.290,0.290,,,,,,,,,,
8/10/23,Jilly,A,AM,2,9:16 AM,10,0.000,0.600,0.300,0.100,0.000,0.200,0.000,0.000,0.800,,,,,,,,,,
8/10/23,Jilly,A,AM,2,9:28 AM,7,0.860,0.140,0.000,0.000,0.000,0.140,0.000,0.000,0.860,,,,,,,,,,
8/12/23,Jacob,A,AM,2,10:00 AM,6,0.000,0.170,0.330,0.500,0.000,0.330,0.000,0.330,0.330,NN AM is grade 2,,,,,,,,,
7/15/24,Vanessa,A,AM3,2,11:33 AM,8,0.000,0.000,0.750,0.250,0.000,0.000,0.250,0.250,0.500,,,,,,,,,,
7/23/24,Vanessa,A,AM,2,9:39 AM,10,0.300,0.200,0.400,0.100,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/27/24,Vanessa,A,AM8,2,8:16 AM,10,0.000,0.000,0.700,0.300,0.000,0.000,0.100,0.400,0.500,,,,,,,,,,
8/1/24,Vanessa,A,AM3,2,10:12 AM,10,0.000,0.000,0.600,0.400,0.000,0.000,0.500,0.000,0.500,"AF19, AF14. AF15",,,,,,,,,
8/1/24,Vanessa,A,AM5,2,10:40 AM,7,0.140,0.000,0.860,0.000,0.000,0.000,0.290,0.000,0.710,AF26,,,,,,,,,
8/7/24,Vanessa,A,AM8,2,9:56 AM,6,0.000,0.170,0.170,0.670,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/16/24,Anita,A,AM3,2,8:46 AM,10,0.000,0.500,0.400,0.100,0.000,0.000,0.300,0.300,0.400,,,,,,,,,,
7/3/24,Landon,A,AM8,2,11:02 AM,5,0.400,0.200,0.200,0.200,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/16/24,Landon,A,AM8,2,9:02 AM,6,0.000,0.167,0.833,0.000,0.000,0.167,0.000,0.000,0.833,AMNC,,,,,,,,,
7/19/24,Landon,A,AM3,2,9:00 AM,9,0.111,0.556,0.111,0.222,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/19/24,Landon,A,AM8,2,9:33 AM,9,0.111,0.111,0.667,0.111,0.000,0.222,0.000,0.000,0.778,,,,,,,,,,
7/19/24,Landon,A,AM,2,10:02 AM,10,0.100,0.200,0.500,0.200,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/23/24,Landon,A,AM8,2,10:03 AM,10,0.100,0.200,0.500,0.200,0.000,0.000,0.100,0.000,0.900,AF27,,,,,,,,,
7/30/24,Landon,A,AM8,2,8:30 AM,6,0.000,0.333,0.167,0.500,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
8/6/24,Landon,A,AM8,2,10:09 AM,10,0.000,0.100,0.500,0.400,0.000,0.000,0.200,0.000,0.800,AF and AF17,,,,,,,,,
7/10/24,Bella,A,AM3,2,10:15 AM,5,0.400,0.000,0.400,0.200,0.000,0.200,0.200,0.200,0.400,,,,,,,,,,
7/10/24,Bella,A,AM8,2,10:53 AM,10,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
7/11/24,Bella,A,AM3,2,11:51 AM,10,0.100,0.000,0.900,0.000,0.000,0.100,0.300,0.100,0.500,,,,,,,,,,
7/29/24,Bella,A,AM8,2,12:02 PM,10,0.000,0.200,0.500,0.300,0.000,0.000,0.000,0.000,1.000,,,,,,,,,,
8/4/24,Bella,A,AM3,2,9:15 AM,10,0.100,0.100,0.400,0.400,0.000,0.000,0.200,0.300,0.500,,,,,,,,,,
8/4/24,Bella,A,AM8,2,11:04 AM,8,0.000,0.130,0.750,0.130,0.000,0.000,0.250,0.000,0.750,,,,,,,,,,
